year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2013,Seoul,597,"19,149","469,392","242,705","226,687","29,751","4,285","25,466","3,174","1,500","1,674","102,219","74,125","7,300","5,553"
2013,Jongno-gu,14,304,"6,561","3,466","3,095",502,73,429,70,36,34,"1,549",980,132,103
2013,Jung-gu,12,268,"6,066","3,077","2,989",427,78,349,75,39,36,"1,203",949,117,96
2013,Yongsan-gu ,15,389,"8,763","4,522","4,241",627,70,557,70,35,35,"1,847","1,408",188,125
2013,Seongdong-gu,20,588,"13,713","6,989","6,724",956,122,834,116,56,60,"2,872","2,214",249,215
2013,Gwangjin-gu,22,674,"16,482","8,487","7,995","1,025",131,894,121,63,58,"3,738","2,693",255,203
2013,Dongdaemun-gu,21,662,"15,439","7,872","7,567",982,154,828,119,58,61,"3,324","2,504",286,204
2013,Jungnang-gu,22,740,"17,369","8,968","8,401","1,146",163,983,114,55,59,"3,979","2,752",256,254
2013,Seongbuk-gu,29,972,"24,544","12,708","11,836","1,443",265,"1,178",159,80,79,"4,784","4,034",340,300
2013,Gangbuk-gu,14,521,"13,005","6,660","6,345",801,145,656,83,45,38,"2,913","1,965",207,146
2013,Dobong-gu,23,775,"18,763","9,667","9,096","1,120",235,885,121,64,57,"4,181","2,879",278,215
2013,Nowon-gu,42,"1,348","33,518","17,296","16,222","2,007",391,"1,616",233,117,116,"7,918","4,883",489,357
2013,Eunpyeong-gu,31,"1,036","25,395","13,119","12,276","1,556",249,"1,307",158,79,79,"5,425","4,140",432,297
2013,Seodaemun-gu,18,600,"14,444","7,370","7,074",918,124,794,108,60,48,"2,982","2,278",184,176
2013,Mapo-gu,22,719,"17,375","8,905","8,470","1,182",149,"1,033",112,44,68,"3,541","2,818",224,208
2013,Yangcheon-gu,30,"1,055","26,349","13,681","12,668","1,583",205,"1,378",165,81,84,"6,220","3,765",356,277
2013,Gangseo-gu,36,"1,143","28,241","14,520","13,721","1,747",257,"1,490",183,79,104,"5,947","4,424",433,296
2013,Guro-gu,24,817,"19,788","10,289","9,499","1,299",195,"1,104",121,52,69,"3,966","3,363",311,232
2013,Geumcheon-gu,18,456,"10,406","5,321","5,085",763,122,641,88,32,56,"2,247","1,661",197,144
2013,Yeongdeungpo-gu,23,695,"15,941","8,394","7,547","1,128",157,971,123,56,67,"3,274","2,668",316,211
2013,Dongjak-gu,21,724,"18,171","9,354","8,817","1,135",155,980,118,56,62,"3,503","3,014",241,202
2013,Gwanak-gu,22,774,"19,157","9,948","9,209","1,243",167,"1,076",117,50,67,"3,977","3,033",279,214
2013,Seocho-gu,24,790,"21,579","11,110","10,469","1,234",127,"1,107",121,47,74,"4,462","3,552",303,196
2013,Gangnam-gu,31,879,"22,280","11,661","10,619","1,442",121,"1,321",155,67,88,"5,698","3,346",434,304
2013,Songpa-gu,37,"1,292","33,307","17,418","15,889","2,058",247,"1,811",191,83,108,"7,496","5,202",447,343
2013,Gang Dong-gu,26,928,"22,736","11,903","10,833","1,427",183,"1,244",133,66,67,"5,173","3,600",348,235
2014,Seoul,599,"18,854","457,517","236,330","221,187","29,613","4,180","25,433","3,240","1,525","1,715","88,172","79,656","7,292","5,674"
2014,Jongno-gu,14,294,"6,233","3,297","2,936",489,70,419,71,34,37,"1,317","1,052",131,103
2014,Jung-gu,12,254,"5,854","2,945","2,909",417,70,347,79,43,36,"1,088","1,090",121,98
2014,Yongsan-gu ,15,375,"8,529","4,363","4,166",615,71,544,72,35,37,"1,646","1,593",193,117
2014,Seongdong-gu,20,581,"13,174","6,641","6,533",946,118,828,118,57,61,"2,418","2,404",227,222
2014,Gwangjin-gu,22,664,"16,086","8,180","7,906","1,040",140,900,124,68,56,"3,053","2,819",247,202
2014,Dongdaemun-gu,21,637,"15,110","7,792","7,318",976,149,827,123,59,64,"2,842","2,693",286,206
2014,Jungnang-gu,23,728,"16,801","8,645","8,156","1,141",163,978,118,57,61,"3,287","2,884",268,273
2014,Seongbuk-gu,29,965,"23,948","12,395","11,553","1,448",262,"1,186",162,81,81,"4,341","4,247",338,302
2014,Gangbuk-gu,14,506,"12,402","6,360","6,042",793,142,651,86,47,39,"2,489","2,046",205,147
2014,Dobong-gu,23,756,"18,014","9,292","8,722","1,111",226,885,117,60,57,"3,565","3,153",278,217
2014,Nowon-gu,42,"1,322","31,890","16,431","15,459","1,987",395,"1,592",235,113,122,"6,722","5,184",485,364
2014,Eunpyeong-gu,31,"1,022","24,688","12,794","11,894","1,543",232,"1,311",162,78,84,"4,623","4,381",431,301
2014,Seodaemun-gu,18,572,"13,645","6,916","6,729",914,127,787,107,53,54,"2,818","2,216",193,179
2014,Mapo-gu,22,716,"17,050","8,720","8,330","1,160",143,"1,017",113,52,61,"3,124","3,112",241,211
2014,Yangcheon-gu,30,"1,024","25,446","13,249","12,197","1,542",188,"1,354",169,80,89,"5,547","4,107",354,285
2014,Gangseo-gu,36,"1,126","27,387","14,124","13,263","1,735",259,"1,476",188,80,108,"5,186","4,814",430,305
2014,Guro-gu,24,811,"19,562","10,095","9,467","1,303",186,"1,117",123,53,70,"3,433","3,674",309,233
2014,Geumcheon-gu,18,439,"9,912","5,054","4,858",751,119,632,89,38,51,"1,946","1,718",198,146
2014,Yeongdeungpo-gu,23,686,"15,499","8,166","7,333","1,123",144,979,120,59,61,"2,805","2,854",304,214
2014,Dongjak-gu,21,705,"17,916","9,328","8,588","1,110",157,953,120,56,64,"3,168","3,181",239,203
2014,Gwanak-gu,22,762,"18,364","9,470","8,894","1,224",163,"1,061",118,55,63,"3,479","3,230",280,217
2014,Seocho-gu,24,816,"22,144","11,382","10,762","1,290",128,"1,162",132,51,81,"4,014","3,832",303,198
2014,Gangnam-gu,31,885,"22,665","11,857","10,808","1,475",124,"1,351",159,69,90,"4,625","3,856",422,339
2014,Songpa-gu,38,"1,303","33,028","17,182","15,846","2,068",227,"1,841",197,84,113,"6,385","5,712",460,357
2014,Gang Dong-gu,26,905,"22,170","11,652","10,518","1,412",177,"1,235",138,63,75,"4,251","3,804",350,237
2015,Seoul,599,"18,780","450,675","232,428","218,247","29,627","4,050","25,577","3,232","1,500","1,732","78,066","75,258","7,236","5,755"
2015,Jongno-gu,14,288,"6,084","3,200","2,884",475,61,414,69,33,36,"1,150",979,122,106
2015,Jung-gu,12,247,"5,739","2,857","2,882",412,65,347,77,40,37,946,978,117,98
2015,Yongsan-gu ,15,369,"8,210","4,159","4,051",612,71,541,73,36,37,"1,431","1,417",190,117
2015,Seongdong-gu,20,569,"12,641","6,420","6,221",939,115,824,116,60,56,"2,166","2,150",224,222
2015,Gwangjin-gu,22,663,"15,760","8,045","7,715","1,049",141,908,125,62,63,"2,759","2,606",247,203
2015,Dongdaemun-gu,21,629,"14,916","7,705","7,211",975,137,838,117,61,56,"2,517","2,597",280,210
2015,Jungnang-gu,23,718,"16,472","8,404","8,068","1,127",153,974,121,56,65,"2,868","2,837",268,273
